ANÁLISIS LÉXICO - algoritmos/algortimo_Alex.php
Contribución de: Alex-Benites
Fecha: 21/06/2025 17:57:28
==================================================

TOKENS RECONOCIDOS:
Token: TAG_INICIO, Valor: '<?php', Línea: 1
Token: IDENTIFICADOR, Valor: 'define', Línea: 4
Token: PAREN_IZQ, Valor: '(', Línea: 4
Token: CADENA, Valor: '"EDAD_MINIMA"', Línea: 4
Token: COMA, Valor: ',', Línea: 4
Token: NUMERO, Valor: '18', Línea: 4
Token: PAREN_DER, Valor: ')', Línea: 4
Token: PUNTO_COMA, Valor: ';', Línea: 4
Token: VARIABLE, Valor: '$personas', Línea: 7
Token: ASIGNAR, Valor: '=', Línea: 7
Token: CORCHETE_IZQ, Valor: '[', Línea: 7
Token: CADENA, Valor: '"Ana"', Línea: 8
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 8
Token: NUMERO, Valor: '23', Línea: 8
Token: COMA, Valor: ',', Línea: 8
Token: CADENA, Valor: '"Luis"', Línea: 9
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 9
Token: NUMERO, Valor: '30', Línea: 9
Token: COMA, Valor: ',', Línea: 9
Token: CADENA, Valor: '"Carla"', Línea: 10
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 10
Token: NUMERO, Valor: '17', Línea: 10
Token: COMA, Valor: ',', Línea: 10
Token: CADENA, Valor: '"Pedro"', Línea: 11
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 11
Token: NUMERO, Valor: '25', Línea: 11
Token: COMA, Valor: ',', Línea: 11
Token: CADENA, Valor: '"Laura"', Línea: 12
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 12
Token: NUMERO, Valor: '40', Línea: 12
Token: CORCHETE_DER, Valor: ']', Línea: 13
Token: PUNTO_COMA, Valor: ';', Línea: 13
Token: VARIABLE, Valor: '$edades', Línea: 16
Token: ASIGNAR, Valor: '=', Línea: 16
Token: CORCHETE_IZQ, Valor: '[', Línea: 16
Token: CORCHETE_DER, Valor: ']', Línea: 16
Token: PUNTO_COMA, Valor: ';', Línea: 16
Token: VARIABLE, Valor: '$adultos', Línea: 17
Token: ASIGNAR, Valor: '=', Línea: 17
Token: NUMERO, Valor: '0', Línea: 17
Token: PUNTO_COMA, Valor: ';', Línea: 17
Token: VARIABLE, Valor: '$totalEdades', Línea: 18
Token: ASIGNAR, Valor: '=', Línea: 18
Token: NUMERO, Valor: '0', Línea: 18
Token: PUNTO_COMA, Valor: ';', Línea: 18
Token: VARIABLE, Valor: '$cantidadPersonas', Línea: 19
Token: ASIGNAR, Valor: '=', Línea: 19
Token: IDENTIFICADOR, Valor: 'count', Línea: 19
Token: PAREN_IZQ, Valor: '(', Línea: 19
Token: VARIABLE, Valor: '$personas', Línea: 19
Token: PAREN_DER, Valor: ')', Línea: 19
Token: PUNTO_COMA, Valor: ';', Línea: 19
Token: FOREACH, Valor: 'foreach', Línea: 21
Token: PAREN_IZQ, Valor: '(', Línea: 21
Token: VARIABLE, Valor: '$personas', Línea: 21
Token: AS, Valor: 'as', Línea: 21
Token: VARIABLE, Valor: '$persona', Línea: 21
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 21
Token: VARIABLE, Valor: '$edad', Línea: 21
Token: PAREN_DER, Valor: ')', Línea: 21
Token: LLAVE_IZQ, Valor: '{', Línea: 21
Token: VARIABLE, Valor: '$edades', Línea: 22
Token: CORCHETE_IZQ, Valor: '[', Línea: 22
Token: CORCHETE_DER, Valor: ']', Línea: 22
Token: ASIGNAR, Valor: '=', Línea: 22
Token: VARIABLE, Valor: '$edad', Línea: 22
Token: PUNTO_COMA, Valor: ';', Línea: 22
