ANÁLISIS LÉXICO - algoritmos/algoritmo_Nehemias.php
Contribución de: NLindao2004
Fecha: 14/06/2025 16:08:31
==================================================

TOKENS RECONOCIDOS:
Token: MENOR, Valor: '<', Línea: 100
Token: IDENTIFICADOR, Valor: 'php', Línea: 100
Token: DEFINE, Valor: 'define', Línea: 102
Token: PAREN_IZQ, Valor: '(', Línea: 102
Token: CADENA, Valor: '"EDAD_MINIMA"', Línea: 102
Token: COMA, Valor: ',', Línea: 102
Token: NUMERO, Valor: '18', Línea: 102
Token: PAREN_DER, Valor: ')', Línea: 102
Token: PUNTO_COMA, Valor: ';', Línea: 102
Token: VARIABLE, Valor: '$personas', Línea: 104
Token: ASIGNAR, Valor: '=', Línea: 104
Token: CORCHETE_IZQ, Valor: '[', Línea: 104
Token: CORCHETE_IZQ, Valor: '[', Línea: 105
Token: CADENA, Valor: '"nombre"', Línea: 105
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 105
Token: CADENA, Valor: '"Ana"', Línea: 105
Token: COMA, Valor: ',', Línea: 105
Token: CADENA, Valor: '"edad"', Línea: 105
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 105
Token: NUMERO, Valor: '23', Línea: 105
Token: CORCHETE_DER, Valor: ']', Línea: 105
Token: COMA, Valor: ',', Línea: 105
Token: CORCHETE_IZQ, Valor: '[', Línea: 106
Token: CADENA, Valor: '"nombre"', Línea: 106
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 106
Token: CADENA, Valor: '"Luis"', Línea: 106
Token: COMA, Valor: ',', Línea: 106
Token: CADENA, Valor: '"edad"', Línea: 106
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 106
Token: NUMERO, Valor: '30', Línea: 106
Token: CORCHETE_DER, Valor: ']', Línea: 106
Token: COMA, Valor: ',', Línea: 106
Token: CORCHETE_IZQ, Valor: '[', Línea: 107
Token: CADENA, Valor: '"nombre"', Línea: 107
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 107
Token: CADENA, Valor: '"Carla"', Línea: 107
Token: COMA, Valor: ',', Línea: 107
Token: CADENA, Valor: '"edad"', Línea: 107
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 107
