ANÁLISIS LÉXICO - algoritmos/algoritmo_Nehemias.php
Contribución de: NLindao2004
Fecha: 21/06/2025 19:43:00
============================================================

ESTADO DEL ANÁLISIS:  ANÁLISIS EXITOSO

TOKENS ENCONTRADOS:
----------------------------------------
  1. Token: TAG_INICIO      | Valor: '<?php' | Línea: 1
  2. Token: DEFINE          | Valor: 'define' | Línea: 7
  3. Token: PAREN_IZQ       | Valor: '(' | Línea: 7
  4. Token: CADENA          | Valor: '"TAMAÑO_MAXIMO"' | Línea: 7
  5. Token: COMA            | Valor: ',' | Línea: 7
  6. Token: NUMERO          | Valor: '5' | Línea: 7
  7. Token: PAREN_DER       | Valor: ')' | Línea: 7
  8. Token: PUNTO_COMA      | Valor: ';' | Línea: 7
  9. Token: VARIABLE        | Valor: '$cola' | Línea: 10
 10. Token: ASIGNAR         | Valor: '=' | Línea: 10
 11. Token: CORCHETE_IZQ    | Valor: '[' | Línea: 10
 12. Token: CORCHETE_DER    | Valor: ']' | Línea: 10
 13. Token: PUNTO_COMA      | Valor: ';' | Línea: 10
 14. Token: VARIABLE        | Valor: '$frente' | Línea: 13
 15. Token: ASIGNAR         | Valor: '=' | Línea: 13
 16. Token: NUMERO          | Valor: '0' | Línea: 13
 17. Token: PUNTO_COMA      | Valor: ';' | Línea: 13
 18. Token: VARIABLE        | Valor: '$final' | Línea: 14
 19. Token: ASIGNAR         | Valor: '=' | Línea: 14
 20. Token: NUMERO          | Valor: '0' | Línea: 14
 21. Token: PUNTO_COMA      | Valor: ';' | Línea: 14
 22. Token: VARIABLE        | Valor: '$contador' | Línea: 15
 23. Token: ASIGNAR         | Valor: '=' | Línea: 15
 24. Token: NUMERO          | Valor: '0' | Línea: 15
 25. Token: PUNTO_COMA      | Valor: ';' | Línea: 15
 26. Token: VARIABLE        | Valor: '$elemento1' | Línea: 18
 27. Token: ASIGNAR         | Valor: '=' | Línea: 18
 28. Token: NUMERO          | Valor: '10' | Línea: 18
 29. Token: PUNTO_COMA      | Valor: ';' | Línea: 18
 30. Token: VARIABLE        | Valor: '$cola' | Línea: 19
 31. Token: CORCHETE_IZQ    | Valor: '[' | Línea: 19
 32. Token: CORCHETE_DER    | Valor: ']' | Línea: 19
 33. Token: ASIGNAR         | Valor: '=' | Línea: 19
 34. Token: VARIABLE        | Valor: '$elemento1' | Línea: 19
 35. Token: PUNTO_COMA      | Valor: ';' | Línea: 19
 36. Token: VARIABLE        | Valor: '$final' | Línea: 20
 37. Token: ASIGNAR         | Valor: '=' | Línea: 20
 38. Token: VARIABLE        | Valor: '$final' | Línea: 20
 39. Token: MAS             | Valor: '+' | Línea: 20
 40. Token: NUMERO          | Valor: '1' | Línea: 20
 41. Token: PUNTO_COMA      | Valor: ';' | Línea: 20
 42. Token: VARIABLE        | Valor: '$contador' | Línea: 21
 43. Token: ASIGNAR         | Valor: '=' | Línea: 21
 44. Token: VARIABLE        | Valor: '$contador' | Línea: 21
 45. Token: MAS             | Valor: '+' | Línea: 21
 46. Token: NUMERO          | Valor: '1' | Línea: 21
 47. Token: PUNTO_COMA      | Valor: ';' | Línea: 21
 48. Token: VARIABLE        | Valor: '$elemento2' | Línea: 23
 49. Token: ASIGNAR         | Valor: '=' | Línea: 23
 50. Token: NUMERO          | Valor: '20' | Línea: 23
 51. Token: PUNTO_COMA      | Valor: ';' | Línea: 23
 52. Token: VARIABLE        | Valor: '$cola' | Línea: 24
 53. Token: CORCHETE_IZQ    | Valor: '[' | Línea: 24
 54. Token: CORCHETE_DER    | Valor: ']' | Línea: 24
 55. Token: ASIGNAR         | Valor: '=' | Línea: 24
 56. Token: VARIABLE        | Valor: '$elemento2' | Línea: 24
 57. Token: PUNTO_COMA      | Valor: ';' | Línea: 24
 58. Token: VARIABLE        | Valor: '$final' | Línea: 25
 59. Token: ASIGNAR         | Valor: '=' | Línea: 25
 60. Token: VARIABLE        | Valor: '$final' | Línea: 25
 61. Token: MAS             | Valor: '+' | Línea: 25
 62. Token: NUMERO          | Valor: '1' | Línea: 25
 63. Token: PUNTO_COMA      | Valor: ';' | Línea: 25
 64. Token: VARIABLE        | Valor: '$contador' | Línea: 26
 65. Token: ASIGNAR         | Valor: '=' | Línea: 26
 66. Token: VARIABLE        | Valor: '$contador' | Línea: 26
 67. Token: MAS             | Valor: '+' | Línea: 26
 68. Token: NUMERO          | Valor: '1' | Línea: 26
 69. Token: PUNTO_COMA      | Valor: ';' | Línea: 26
 70. Token: VARIABLE        | Valor: '$elemento3' | Línea: 28
 71. Token: ASIGNAR         | Valor: '=' | Línea: 28
 72. Token: NUMERO          | Valor: '30' | Línea: 28
 73. Token: PUNTO_COMA      | Valor: ';' | Línea: 28
 74. Token: VARIABLE        | Valor: '$cola' | Línea: 29
 75. Token: CORCHETE_IZQ    | Valor: '[' | Línea: 29
 76. Token: CORCHETE_DER    | Valor: ']' | Línea: 29
 77. Token: ASIGNAR         | Valor: '=' | Línea: 29
