ANÁLISIS LÉXICO - algoritmos/algoritmo_Fernando.php
Contribución de: fzavala2003
Fecha: 14/06/2025 16:10:29
==================================================

TOKENS RECONOCIDOS:
Token: MENOR, Valor: '<', Línea: 57
Token: IDENTIFICADOR, Valor: 'php', Línea: 57
Token: DEFINE, Valor: 'define', Línea: 59
Token: PAREN_IZQ, Valor: '(', Línea: 59
Token: CADENA, Valor: '"EDAD_MINIMA"', Línea: 59
Token: COMA, Valor: ',', Línea: 59
Token: NUMERO, Valor: '18', Línea: 59
Token: PAREN_DER, Valor: ')', Línea: 59
Token: PUNTO_COMA, Valor: ';', Línea: 59
Token: VARIABLE, Valor: '$personas', Línea: 61
Token: ASIGNAR, Valor: '=', Línea: 61
Token: CORCHETE_IZQ, Valor: '[', Línea: 61
Token: CORCHETE_IZQ, Valor: '[', Línea: 62
Token: CADENA, Valor: '"nombre"', Línea: 62
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 62
Token: CADENA, Valor: '"Ana"', Línea: 62
Token: COMA, Valor: ',', Línea: 62
Token: CADENA, Valor: '"edad"', Línea: 62
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 62
Token: NUMERO, Valor: '23', Línea: 62
Token: CORCHETE_DER, Valor: ']', Línea: 62
Token: COMA, Valor: ',', Línea: 62
Token: CORCHETE_IZQ, Valor: '[', Línea: 63
Token: CADENA, Valor: '"nombre"', Línea: 63
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 63
Token: CADENA, Valor: '"Luis"', Línea: 63
Token: COMA, Valor: ',', Línea: 63
Token: CADENA, Valor: '"edad"', Línea: 63
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 63
Token: NUMERO, Valor: '30', Línea: 63
Token: CORCHETE_DER, Valor: ']', Línea: 63
Token: COMA, Valor: ',', Línea: 63
Token: CORCHETE_IZQ, Valor: '[', Línea: 64
Token: CADENA, Valor: '"nombre"', Línea: 64
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 64
Token: CADENA, Valor: '"Carla"', Línea: 64
Token: COMA, Valor: ',', Línea: 64
Token: CADENA, Valor: '"edad"', Línea: 64
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 64
Token: NUMERO, Valor: '17', Línea: 64
Token: CORCHETE_DER, Valor: ']', Línea: 64
Token: COMA, Valor: ',', Línea: 64
Token: CORCHETE_IZQ, Valor: '[', Línea: 65
Token: CADENA, Valor: '"nombre"', Línea: 65
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 65
Token: CADENA, Valor: '"Pedro"', Línea: 65
Token: COMA, Valor: ',', Línea: 65
Token: CADENA, Valor: '"edad"', Línea: 65
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 65
Token: NUMERO, Valor: '25', Línea: 65
Token: CORCHETE_DER, Valor: ']', Línea: 65
Token: COMA, Valor: ',', Línea: 65
Token: CORCHETE_IZQ, Valor: '[', Línea: 66
Token: CADENA, Valor: '"nombre"', Línea: 66
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 66
Token: CADENA, Valor: '"Laura"', Línea: 66
Token: COMA, Valor: ',', Línea: 66
Token: CADENA, Valor: '"edad"', Línea: 66
Token: ARRAY_ASOCIATIVO, Valor: '=>', Línea: 66
Token: NUMERO, Valor: '40', Línea: 66
Token: CORCHETE_DER, Valor: ']', Línea: 66
Token: COMA, Valor: ',', Línea: 66
Token: CORCHETE_DER, Valor: ']', Línea: 67
Token: PUNTO_COMA, Valor: ';', Línea: 67
Token: VARIABLE, Valor: '$edades', Línea: 69
Token: ASIGNAR, Valor: '=', Línea: 69
Token: CORCHETE_IZQ, Valor: '[', Línea: 69
Token: CORCHETE_DER, Valor: ']', Línea: 69
Token: PUNTO_COMA, Valor: ';', Línea: 69
Token: VARIABLE, Valor: '$adultos', Línea: 70
Token: ASIGNAR, Valor: '=', Línea: 70
Token: NUMERO, Valor: '0', Línea: 70
Token: PUNTO_COMA, Valor: ';', Línea: 70
Token: VARIABLE, Valor: '$totalEdades', Línea: 71
Token: ASIGNAR, Valor: '=', Línea: 71
Token: NUMERO, Valor: '0', Línea: 71
Token: PUNTO_COMA, Valor: ';', Línea: 71
Token: VARIABLE, Valor: '$cantidadPersonas', Línea: 72
Token: ASIGNAR, Valor: '=', Línea: 72
Token: COUNT, Valor: 'count', Línea: 72
Token: PAREN_IZQ, Valor: '(', Línea: 72
Token: VARIABLE, Valor: '$personas', Línea: 72
Token: PAREN_DER, Valor: ')', Línea: 72
